name,street,street2,city,state,zip,price,link,rdi,CMRA,smarty_status,detail_status,usps_status,usps_address,usps_zip5,usps_zip4,usps_dpv_confirmation,usps_cmra,usps_business,usps_carrier_route,usps_raw
Bozeman - 22nd Ave,1800 S 22nd Ave,Ste 120,Bozeman,MT,59718,US$14.99/month,https://www.anytimemailbox.com/s/bozeman-1800-s-22nd-avenue,Residential,N,matched,fetched,matched,"1800 S 22ND AVE APT 120, BOZEMAN, MT",59718,5837,Y,N,,C014,"{""addressList"":[{""addressLine1"":""1800 S 22ND AVE APT 120"",""carrierRoute"":""C014"",""checkDigit"":""8"",""city"":""BOZEMAN"",""cmar"":""N"",""countyName"":""GALLATIN"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""45"",""dpvConfirmation"":""Y"",""elot"":""0379"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""MT"",""zip4"":""5837"",""zip5"":""59718""}],""resultStatus"":""SUCCESS""}"
Anchorage - 5th Ave,243 E 5th Ave,,Anchorage,AK,99501,US$9.99/month,https://www.anytimemailbox.com/s/anchorage-243-e-5th-ave,Commercial,Y,matched,fetched,matched,"243 E 5TH AVE, ANCHORAGE, AK",99501,2519,Y,Y,,C005,"{""addressList"":[{""addressLine1"":""243 E 5TH AVE"",""carrierRoute"":""C005"",""checkDigit"":""2"",""city"":""ANCHORAGE"",""cmar"":""Y"",""countyName"":""ANCHORAGE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""43"",""dpvConfirmation"":""Y"",""elot"":""0060"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""AK"",""zip4"":""2519"",""zip5"":""99501""}],""resultStatus"":""SUCCESS""}"
Anchorage - Dimond Blvd,750 W Dimond Blvd,Ste 103,Anchorage,AK,99515,US$9.99/month,https://www.anytimemailbox.com/s/anchorage-750-w-dimond-blvd,Commercial,Y,matched,fetched,matched,"750 W DIMOND BLVD STE 103, ANCHORAGE, AK",99515,1500,Y,Y,,C022,"{""addressList"":[{""addressLine1"":""750 W DIMOND BLVD STE 103"",""carrierRoute"":""C022"",""checkDigit"":""5"",""city"":""ANCHORAGE"",""cmar"":""Y"",""countyName"":""ANCHORAGE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""28"",""dpvConfirmation"":""Y"",""elot"":""0016"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""AK"",""zip4"":""1500"",""zip5"":""99515""}],""resultStatus"":""SUCCESS""}"
Wasilla,4900 Palmer-Wasilla Hwy,Ste 101,Wasilla,AK,99654,US$11.99/month,https://www.anytimemailbox.com/s/wasilla-4900-palmer-wasilla-highway,Commercial,Y,matched,fetched,matched,"4900 E PALMER WASILLA HWY STE 101, WASILLA, AK",99654,7752,Y,Y,,C005,"{""addressList"":[{""addressLine1"":""4900 E PALMER WASILLA HWY STE 101"",""carrierRoute"":""C005"",""checkDigit"":""8"",""city"":""WASILLA"",""cmar"":""Y"",""countyName"":""MATANUSKA SUSITNA"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""26"",""dpvConfirmation"":""Y"",""elot"":""0287"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""AK"",""zip4"":""7752"",""zip5"":""99654""}],""resultStatus"":""SUCCESS""}"
Claymont,2803 Philadelphia Pike,Suite B,Claymont,DE,19703,US$9.99/month,https://www.anytimemailbox.com/s/claymont-2803-philadelphia-pike,Commercial,Y,matched,fetched,matched,"2803 PHILADELPHIA PIKE PMB B, CLAYMONT, DE",19703,2506,Y,Y,,C001,"{""addressList"":[{""addressLine1"":""2803 PHILADELPHIA PIKE PMB B"",""carrierRoute"":""C001"",""checkDigit"":""4"",""city"":""CLAYMONT"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""03"",""dpvConfirmation"":""Y"",""elot"":""0189"",""elotIndicator"":""A"",""pmbDesignator"":""PMB"",""pmbNumber"":""B"",""recordType"":""S"",""state"":""DE"",""zip4"":""2506"",""zip5"":""19703""}],""resultStatus"":""SUCCESS""}"
Dover - Governors Ave,1272 S Governors Ave,,Dover,DE,19904,US$9.99/month,https://www.anytimemailbox.com/s/dover-1272-s-governors-ave,Commercial,N,matched,fetched,multiple_matches,,,,,,,,"{""addressList"":[{""addressLine1"":""1272 S GOVERNORS AVE"",""carrierRoute"":""C018"",""checkDigit"":""2"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""defaultFlag"":""Y"",""deliveryPoint"":""99"",""dpvConfirmation"":""D"",""elot"":""0031"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""4896"",""zip5"":""19904""},{""addressLine1"":""1272 S GOVERNORS AVE"",""carrierRoute"":""C018"",""checkDigit"":""2"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""deliveryPoint"":""99"",""state"":""DE"",""zip4"":""4896"",""zip5"":""19904""},{""addressLine1"":""1272 S GOVERNORS AVE STE (Range A - C)"",""carrierRoute"":""C018"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""state"":""DE"",""zip4"":""4896"",""zip5"":""19904""},{""addressLine1"":""(EVEN Range 1200 - 1298) S GOVERNORS AVE"",""carrierRoute"":""C018"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""state"":""DE"",""zip4"":""4802"",""zip5"":""19904""}],""resultStatus"":""SUCCESS""}"
Middletown,600 N Broad Street,Suite 5,Middletown,DE,19709,US$9.99/month,https://www.anytimemailbox.com/s/middletown-600-n-broad-street,Commercial,Y,matched,fetched,matched,"600 N BROAD ST STE 5, MIDDLETOWN, DE",19709,1032,Y,Y,,C003,"{""addressList"":[{""addressLine1"":""600 N BROAD ST STE 5"",""carrierRoute"":""C003"",""checkDigit"":""3"",""city"":""MIDDLETOWN"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""05"",""dpvConfirmation"":""Y"",""elot"":""0103"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""1032"",""zip5"":""19709""}],""resultStatus"":""SUCCESS""}"
Millsboro,26670 Centerview Dr,Unit 13,Millsboro,DE,19966,US$11.99/month,https://www.anytimemailbox.com/s/millsboro-26670-centerview-dr,Commercial,Y,matched,fetched,matched,"26670 CENTERVIEW DR UNIT 13, MILLSBORO, DE",19966,3584,Y,Y,,R005,"{""addressList"":[{""addressLine1"":""26670 CENTERVIEW DR UNIT 13"",""carrierRoute"":""R005"",""checkDigit"":""5"",""city"":""MILLSBORO"",""cmar"":""Y"",""countyName"":""SUSSEX"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""13"",""dpvConfirmation"":""Y"",""elot"":""0068"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""3584"",""zip5"":""19966""}],""resultStatus"":""SUCCESS""}"
Milton,124 Broadkill Rd,,Milton,DE,19968-1008,US$15.99/month,https://www.anytimemailbox.com/s/milton-124-broadkill-road,Commercial,Y,matched,fetched,matched,"124 BROADKILL RD, MILTON, DE",19968,1008,Y,Y,,C002,"{""addressList"":[{""addressLine1"":""124 BROADKILL RD"",""carrierRoute"":""C002"",""checkDigit"":""2"",""city"":""MILTON"",""cmar"":""Y"",""countyName"":""SUSSEX"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""24"",""dpvConfirmation"":""Y"",""elot"":""0245"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""1008"",""zip5"":""19968""}],""resultStatus"":""SUCCESS""}"
New Castle - Penn Mart Shopping Ct,20 Penn Mart Shopping Ctr,,New Castle,DE,19720,US$9.99/month,https://www.anytimemailbox.com/s/new-castle-20-penn-mart-shopping-court,Commercial,Y,matched,fetched,matched,"20 PENN MART SHOPPING CTR, NEW CASTLE, DE",19720,4207,Y,Y,,C011,"{""addressList"":[{""addressLine1"":""20 PENN MART SHOPPING CTR"",""carrierRoute"":""C011"",""checkDigit"":""6"",""city"":""NEW CASTLE"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""20"",""dpvConfirmation"":""Y"",""elot"":""0293"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""4207"",""zip5"":""19720""}],""resultStatus"":""SUCCESS""}"
Newark - Drummond Shpg Ctr,11 Polly Drummond Shpg Ctr,,Newark,DE,19711,US$6.99/month,https://www.anytimemailbox.com/s/newark-11-polly-drummond-shpg-ctr,Commercial,Y,matched,fetched,matched,"11 POLLY DRUMMOND SHPG CTR, NEWARK, DE",19711,4859,Y,Y,,C085,"{""addressList"":[{""addressLine1"":""11 POLLY DRUMMOND SHPG CTR"",""carrierRoute"":""C085"",""checkDigit"":""3"",""city"":""NEWARK"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""11"",""dpvConfirmation"":""Y"",""elot"":""0026"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""4859"",""zip5"":""19711""}],""resultStatus"":""SUCCESS""}"
Newark - Prestbury Sq,30 Prestbury Sq,Ste 306,Newark,DE,19713,US$9.99/month,https://www.anytimemailbox.com/s/newark-30-prestbury-sq,Commercial,Y,matched,fetched,matched,"30 PRESTBURY SQ STE 306, NEWARK, DE",19713,3235,Y,Y,,C009,"{""addressList"":[{""addressLine1"":""30 PRESTBURY SQ STE 306"",""carrierRoute"":""C009"",""checkDigit"":""7"",""city"":""NEWARK"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""81"",""dpvConfirmation"":""Y"",""elot"":""0057"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""3235"",""zip5"":""19713""}],""resultStatus"":""SUCCESS""}"
Newark,4 Peddlers Row,,Newark,DE,19702,US$11.99/month,https://www.anytimemailbox.com/s/newark-4-peddlers-row,Commercial,Y,matched,fetched,matched,"4 PEDDLERS ROW, NEWARK, DE",19702,1525,Y,Y,,C072,"{""addressList"":[{""addressLine1"":""4 PEDDLERS ROW"",""carrierRoute"":""C072"",""checkDigit"":""4"",""city"":""NEWARK"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""04"",""dpvConfirmation"":""Y"",""elot"":""0174"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""1525"",""zip5"":""19702""}],""resultStatus"":""SUCCESS""}"
Rehoboth Beach - Coastal Hwy (18585),18585 Coastal Highway,Unit 10,Rehoboth Beach,DE,19971,US$14.99/month,https://www.anytimemailbox.com/s/rehoboth-beach-18585-coastal-highway,Commercial,Y,matched,fetched,matched,"18585 COASTAL HWY UNIT 10, REHOBOTH BEACH, DE",19971,6147,Y,Y,,R004,"{""addressList"":[{""addressLine1"":""18585 COASTAL HWY UNIT 10"",""carrierRoute"":""R004"",""checkDigit"":""4"",""city"":""REHOBOTH BEACH"",""cmar"":""Y"",""countyName"":""SUSSEX"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""10"",""dpvConfirmation"":""Y"",""elot"":""0239"",""elotIndicator"":""D"",""recordType"":""H"",""state"":""DE"",""zip4"":""6147"",""zip5"":""19971""}],""resultStatus"":""SUCCESS""}"
Rehoboth Beach - Coastal Hwy (19266),19266 Coastal Hwy,Unit 4-,Rehoboth Beach,DE,19971,US$9.99/month,https://www.anytimemailbox.com/s/rehoboth-beach-19266-coastal-hwy,Commercial,Y,matched,fetched,matched,"19266 COASTAL HWY UNIT 4, REHOBOTH BEACH, DE",19971,6117,Y,Y,,R008,"{""addressList"":[{""addressLine1"":""19266 COASTAL HWY UNIT 4"",""carrierRoute"":""R008"",""checkDigit"":""4"",""city"":""REHOBOTH BEACH"",""cmar"":""Y"",""countyName"":""SUSSEX"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""04"",""dpvConfirmation"":""Y"",""elot"":""0092"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""6117"",""zip5"":""19971""}],""resultStatus"":""SUCCESS""}"
Smyrna,74 E Glenwood Ave,,Smyrna,DE,19977,US$8.99/month,https://www.anytimemailbox.com/s/smyrna-74-e-glenwood-avenue,Commercial,N,matched,fetched,matched,"74 E GLENWOOD AVE, SMYRNA, DE",19977,1002,Y,N,,C006,"{""addressList"":[{""addressLine1"":""74 E GLENWOOD AVE"",""carrierRoute"":""C006"",""checkDigit"":""3"",""city"":""SMYRNA"",""cmar"":""N"",""countyName"":""KENT"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""74"",""dpvConfirmation"":""Y"",""elot"":""0071"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""1002"",""zip5"":""19977""}],""resultStatus"":""SUCCESS""}"
Wilmington - Pennsylvania Ave,1401 Pennsylvania Ave,STE 105 Box,Wilmington,DE,19806,US$8.99/month,https://www.anytimemailbox.com/s/wilmington-1401-pennsylvania-ave,Commercial,N,matched,fetched,matched,"1401 PENNSYLVANIA AVE STE 105, BOX, WILMINGTON, DE",19806,4125,Y,N,,C044,"{""addressList"":[{""addressLine1"":""1401 PENNSYLVANIA AVE STE 105"",""addressLine2"":""BOX"",""carrierRoute"":""C044"",""checkDigit"":""1"",""city"":""WILMINGTON"",""cmar"":""N"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""30"",""dpvConfirmation"":""Y"",""elot"":""0439"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""4125"",""zip5"":""19806""}],""resultStatus"":""SUCCESS""}"
Wilmington - Concord Pike,1521 Concord Pike,Ste 301,Wilmington,DE,19803,US$9.99/month,https://www.anytimemailbox.com/s/wilmington-1521-concord-pike,Commercial,Y,matched,fetched,matched,"1521 CONCORD PIKE STE 301, WILMINGTON, DE",19803,3644,Y,Y,,C002,"{""addressList"":[{""addressLine1"":""1521 CONCORD PIKE STE 301"",""carrierRoute"":""C002"",""checkDigit"":""9"",""city"":""WILMINGTON"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""76"",""dpvConfirmation"":""Y"",""elot"":""0107"",""elotIndicator"":""D"",""recordType"":""H"",""state"":""DE"",""zip4"":""3644"",""zip5"":""19803""}],""resultStatus"":""SUCCESS""}"
Wilmington - Trolley Sq,24A Trolley Square,,Wilmington,DE,19806,US$9.99/month,https://www.anytimemailbox.com/s/wilmington-24a-trolley-square,Commercial,Y,matched,fetched,matched,"24A TROLLEY SQ, WILMINGTON, DE",19806,3334,Y,Y,,C052,"{""addressList"":[{""addressLine1"":""24A TROLLEY SQ"",""carrierRoute"":""C052"",""checkDigit"":""7"",""city"":""WILMINGTON"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""24"",""dpvConfirmation"":""Y"",""elot"":""0009"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""3334"",""zip5"":""19806""}],""resultStatus"":""SUCCESS""}"
Wilmington - Delaware Ave,300 Delaware Ave,Ste 210,Wilmington,DE,19801,US$9.99/month,https://www.anytimemailbox.com/s/wilmington-300-delaware-avenue,Commercial,Y,matched,fetched,matched,"300 DELAWARE AVE STE 210, WILMINGTON, DE",19801,6601,Y,Y,,C002,"{""addressList"":[{""addressLine1"":""300 DELAWARE AVE STE 210"",""carrierRoute"":""C002"",""checkDigit"":""2"",""city"":""WILMINGTON"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""60"",""dpvConfirmation"":""Y"",""elot"":""0058"",""elotIndicator"":""D"",""recordType"":""H"",""state"":""DE"",""zip4"":""6601"",""zip5"":""19801""}],""resultStatus"":""SUCCESS""}"
Wilmington - Lancaster Pike,3301 Lancaster Pike,Ste 1A,Wilmington,DE,19805,US$14.99/month,https://www.anytimemailbox.com/s/wilmington-3301-lancaster-pike,Commercial,Y,matched,fetched,matched,"3301 LANCASTER PIKE STE 1A, WILMINGTON, DE",19805,1436,Y,Y,,C020,"{""addressList"":[{""addressLine1"":""3301 LANCASTER PIKE STE 1A"",""carrierRoute"":""C020"",""checkDigit"":""1"",""city"":""WILMINGTON"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""11"",""dpvConfirmation"":""Y"",""elot"":""0118"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""1436"",""zip5"":""19805""}],""resultStatus"":""SUCCESS""}"
Wilmington - Brier Ave,34 Brier Ave,,Wilmington,DE,19805,US$9.99/month,https://www.anytimemailbox.com/s/wilmington-34-brier-ave,Commercial,Y,matched,fetched,matched,"34 BRIER AVE, WILMINGTON, DE",19805,1916,Y,Y,,C012,"{""addressList"":[{""addressLine1"":""34 BRIER AVE"",""carrierRoute"":""C012"",""checkDigit"":""3"",""city"":""WILMINGTON"",""cmar"":""Y"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""34"",""dpvConfirmation"":""Y"",""elot"":""0342"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""1916"",""zip5"":""19805""}],""resultStatus"":""SUCCESS""}"
