name,street,street2,city,state,zip,price,link,rdi,CMRA,smarty_status,detail_status,usps_status,usps_address,usps_zip5,usps_zip4,usps_dpv_confirmation,usps_cmra,usps_business,usps_carrier_route,usps_raw
Bozeman - 22nd Ave,1800 S 22nd Ave,Ste 120,Bozeman,MT,59718,US$14.99/month,https://www.anytimemailbox.com/s/bozeman-1800-s-22nd-avenue,Residential,N,matched,fetched,matched,"1800 S 22ND AVE APT 120, BOZEMAN, MT",59718,5837,Y,N,,C014,"{""addressList"":[{""addressLine1"":""1800 S 22ND AVE APT 120"",""carrierRoute"":""C014"",""checkDigit"":""8"",""city"":""BOZEMAN"",""cmar"":""N"",""countyName"":""GALLATIN"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""45"",""dpvConfirmation"":""Y"",""elot"":""0379"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""MT"",""zip4"":""5837"",""zip5"":""59718""}],""resultStatus"":""SUCCESS""}"
Dover - Governors Ave,1272 S Governors Ave,,Dover,DE,19904,US$9.99/month,https://www.anytimemailbox.com/s/dover-1272-s-governors-ave,Commercial,N,matched,fetched,multiple_matches,,,,,,,,"{""addressList"":[{""addressLine1"":""1272 S GOVERNORS AVE"",""carrierRoute"":""C018"",""checkDigit"":""2"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""defaultFlag"":""Y"",""deliveryPoint"":""99"",""dpvConfirmation"":""D"",""elot"":""0031"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""4896"",""zip5"":""19904""},{""addressLine1"":""1272 S GOVERNORS AVE"",""carrierRoute"":""C018"",""checkDigit"":""2"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""deliveryPoint"":""99"",""state"":""DE"",""zip4"":""4896"",""zip5"":""19904""},{""addressLine1"":""1272 S GOVERNORS AVE STE (Range A - C)"",""carrierRoute"":""C018"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""state"":""DE"",""zip4"":""4896"",""zip5"":""19904""},{""addressLine1"":""(EVEN Range 1200 - 1298) S GOVERNORS AVE"",""carrierRoute"":""C018"",""city"":""DOVER"",""cmar"":""N"",""countyName"":""KENT"",""state"":""DE"",""zip4"":""4802"",""zip5"":""19904""}],""resultStatus"":""SUCCESS""}"
Smyrna,74 E Glenwood Ave,,Smyrna,DE,19977,US$8.99/month,https://www.anytimemailbox.com/s/smyrna-74-e-glenwood-avenue,Commercial,N,matched,fetched,matched,"74 E GLENWOOD AVE, SMYRNA, DE",19977,1002,Y,N,,C006,"{""addressList"":[{""addressLine1"":""74 E GLENWOOD AVE"",""carrierRoute"":""C006"",""checkDigit"":""3"",""city"":""SMYRNA"",""cmar"":""N"",""countyName"":""KENT"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""74"",""dpvConfirmation"":""Y"",""elot"":""0071"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""DE"",""zip4"":""1002"",""zip5"":""19977""}],""resultStatus"":""SUCCESS""}"
Wilmington - Pennsylvania Ave,1401 Pennsylvania Ave,STE 105 Box,Wilmington,DE,19806,US$8.99/month,https://www.anytimemailbox.com/s/wilmington-1401-pennsylvania-ave,Commercial,N,matched,fetched,matched,"1401 PENNSYLVANIA AVE STE 105, BOX, WILMINGTON, DE",19806,4125,Y,N,,C044,"{""addressList"":[{""addressLine1"":""1401 PENNSYLVANIA AVE STE 105"",""addressLine2"":""BOX"",""carrierRoute"":""C044"",""checkDigit"":""1"",""city"":""WILMINGTON"",""cmar"":""N"",""countyName"":""NEW CASTLE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""30"",""dpvConfirmation"":""Y"",""elot"":""0439"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""DE"",""zip4"":""4125"",""zip5"":""19806""}],""resultStatus"":""SUCCESS""}"
Billings - Grand Ave,3031 Grand Ave,,Billings,MT,59102,US$14.99/month,https://www.anytimemailbox.com/s/billings-3031-grand-ave,Commercial,N,matched,fetched,multiple_matches,,,,,,,,"{""addressList"":[{""addressLine1"":""3031 GRAND AVE"",""carrierRoute"":""C085"",""checkDigit"":""6"",""city"":""BILLINGS"",""cmar"":""N"",""countyName"":""YELLOWSTONE"",""defaultFlag"":""Y"",""deliveryPoint"":""99"",""dpvConfirmation"":""D"",""elot"":""0163"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""MT"",""zip4"":""6698"",""zip5"":""59102""},{""addressLine1"":""3031 GRAND AVE"",""carrierRoute"":""C085"",""checkDigit"":""6"",""city"":""BILLINGS"",""cmar"":""N"",""countyName"":""YELLOWSTONE"",""deliveryPoint"":""99"",""state"":""MT"",""zip4"":""6698"",""zip5"":""59102""},{""addressLine1"":""3031 GRAND AVE STE (EVEN Range 100 - 236)"",""carrierRoute"":""C085"",""city"":""BILLINGS"",""cmar"":""N"",""countyName"":""YELLOWSTONE"",""state"":""MT"",""zip4"":""6687"",""zip5"":""59102""},{""addressLine1"":""(ODD Range 3001 - 3099) GRAND AVE"",""carrierRoute"":""C085"",""city"":""BILLINGS"",""cmar"":""N"",""countyName"":""YELLOWSTONE"",""state"":""MT"",""zip4"":""6572"",""zip5"":""59102""}],""resultStatus"":""SUCCESS""}"
Kalispell,175 Hutton Ranch Rd,Ste 102-,Kalispell,MT,59901,US$9.99/month,https://www.anytimemailbox.com/s/kalispell-175-hutton-ranch-road,Commercial,N,matched,fetched,matched,"175 HUTTON RANCH RD STE 102, KALISPELL, MT",59901,2142,Y,N,,C012,"{""addressList"":[{""addressLine1"":""175 HUTTON RANCH RD STE 102"",""carrierRoute"":""C012"",""checkDigit"":""8"",""city"":""KALISPELL"",""cmar"":""N"",""countyName"":""FLATHEAD"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""27"",""dpvConfirmation"":""Y"",""elot"":""0028"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""MT"",""zip4"":""2142"",""zip5"":""59901""}],""resultStatus"":""SUCCESS""}"
Whitefish,6479 US Hwy 93 S,,Whitefish,MT,59937,US$9.99/month,https://www.anytimemailbox.com/s/whitefish-6479-us-hwy-93-s,Commercial,N,matched,fetched,matched,"6479 US HIGHWAY 93 S, WHITEFISH, MT",59937,8238,Y,N,,C004,"{""addressList"":[{""addressLine1"":""6479 US HIGHWAY 93 S"",""carrierRoute"":""C004"",""checkDigit"":""0"",""city"":""WHITEFISH"",""cmar"":""N"",""countyName"":""FLATHEAD"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""79"",""dpvConfirmation"":""Y"",""elot"":""0269"",""elotIndicator"":""D"",""recordType"":""S"",""state"":""MT"",""zip4"":""8238"",""zip5"":""59937""}],""resultStatus"":""SUCCESS""}"
Salem,50a Northwestern Dr,Unit 3,Salem,NH,03079,US$8.99/month,https://www.anytimemailbox.com/s/salem-50a-northwestern-drive,Commercial,N,matched,fetched,matched,"50A NORTHWESTERN DR STE 3, SALEM, NH",03079,4827,Y,N,,C019,"{""addressList"":[{""addressLine1"":""50A NORTHWESTERN DR STE 3"",""carrierRoute"":""C019"",""checkDigit"":""7"",""city"":""SALEM"",""cmar"":""N"",""countyName"":""ROCKINGHAM"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""03"",""dpvConfirmation"":""Y"",""elot"":""0120"",""elotIndicator"":""D"",""recordType"":""H"",""state"":""NH"",""zip4"":""4827"",""zip5"":""03079""}],""resultStatus"":""SUCCESS""}"
Henderson - Sunset Rd,1540 W Sunset Rd,Ste 100,Henderson,NV,89014,US$9.99/month,https://www.anytimemailbox.com/s/henderson-1540-w-sunset-road,Commercial,N,matched,fetched,matched,"1540 W SUNSET RD STE 100, HENDERSON, NV",89014,6846,Y,N,,C093,"{""addressList"":[{""addressLine1"":""1540 W SUNSET RD STE 100"",""carrierRoute"":""C093"",""checkDigit"":""7"",""city"":""HENDERSON"",""cmar"":""N"",""countyName"":""CLARK"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""25"",""dpvConfirmation"":""Y"",""elot"":""0043"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""NV"",""zip4"":""6846"",""zip5"":""89014""}],""resultStatus"":""SUCCESS""}"
Henderson - Stephanie St,209 S Stephanie St,Ste B,Henderson,NV,89012,US$9.99/month,https://www.anytimemailbox.com/s/henderson-209-s-stephanie-street,Commercial,N,matched,fetched,matched,"209 S STEPHANIE ST STE B, HENDERSON, NV",89012,4423,Y,Y,,R065,"{""addressList"":[{""addressLine1"":""209 S STEPHANIE ST STE B"",""carrierRoute"":""R065"",""checkDigit"":""6"",""city"":""HENDERSON"",""cmar"":""Y"",""countyName"":""CLARK"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""74"",""dpvConfirmation"":""Y"",""elot"":""0005"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""NV"",""zip4"":""4423"",""zip5"":""89012""}],""resultStatus"":""SUCCESS""}"
