name,street,street2,city,state,zip,price,link,rdi,CMRA,smarty_status,detail_status,usps_status,usps_address,usps_zip5,usps_zip4,usps_dpv_confirmation,usps_cmra,usps_business,usps_carrier_route,usps_raw
Bozeman - 22nd Ave,1800 S 22nd Ave,Ste 120,Bozeman,MT,59718,US$14.99/month,https://www.anytimemailbox.com/s/bozeman-1800-s-22nd-avenue,Residential,N,matched,fetched,skipped_after_service_errors,,,,,,,,
Claymont,2803 Philadelphia Pike,Suite B,Claymont,DE,19703,US$9.99/month,https://www.anytimemailbox.com/s/claymont-2803-philadelphia-pike,Commercial,Y,matched,fetched,skipped_after_service_errors,,,,,,,,
Dover - Governors Ave,1272 S Governors Ave,,Dover,DE,19904,US$9.99/month,https://www.anytimemailbox.com/s/dover-1272-s-governors-ave,Commercial,N,matched,fetched,skipped_after_service_errors,,,,,,,,
Billings - 24th St,100 24th Street West #1-,,Billings,MT,59102,US$14.99/month,https://www.anytimemailbox.com/s/billings-100-24th-street-west,Commercial,Y,matched,fetched,skipped_after_service_errors,,,,,,,,
Bozeman - Spanish Peak Dr,40 Spanish Peak Dr,Unit 101,Bozeman,MT,59718,US$14.99/month,https://www.anytimemailbox.com/s/bozeman-40-spanish-peak-drive,Commercial,Y,matched,fetched,skipped_after_service_errors,,,,,,,,
Helena,1827 11th Ave,,Helena,MT,59601,US$9.99/month,https://www.anytimemailbox.com/s/helena-1827-11th-avenue,Commercial,Y,matched,fetched,skipped_after_service_errors,,,,,,,,
Kalispell,175 Hutton Ranch Rd,Ste 102-,Kalispell,MT,59901,US$9.99/month,https://www.anytimemailbox.com/s/kalispell-175-hutton-ranch-road,Commercial,N,matched,fetched,skipped_after_service_errors,,,,,,,,
Kalispell - Sunset Blvd,580 Sunset Blvd,,Kalispell,MT,59901,US$34.99/month,https://www.anytimemailbox.com/s/kalispell-580-sunset-blvd,Commercial,Y,matched,fetched,skipped_after_service_errors,,,,,,,,
Dover,42 Dover Point Rd,Ste N,Dover,NH,03820,US$9.99/month,https://www.anytimemailbox.com/s/dover-42-dover-point-road,Commercial,Y,matched,fetched,skipped_after_service_errors,,,,,,,,
Ashland,1467 Siskiyou Blvd,,Ashland,OR,97520,US$9.99/month,https://www.anytimemailbox.com/s/ashland-1467-siskiyou-blvd,Commercial,Y,matched,fetched,http_302,,,,,,,,"{""http_status"":302,""redirect"":""https://www.usps.com/root/global/server_responses/anyapp_outage_apology.htm""}"
Beaverton - Murray Scholls Dr,14845 SW Murray Scholls Dr,Ste 110,Beaverton,OR,97007,US$14.99/month,https://www.anytimemailbox.com/s/beaverton-14845-sw-murray-scholls-drive,Commercial,Y,matched,fetched,http_302,,,,,,,,"{""http_status"":302,""redirect"":""https://www.usps.com/root/global/server_responses/anyapp_outage_apology.htm""}"
